1,0
2,0
3,0
4,0
5,0
6,0.01
7,0.02
8,0.03
9,0.05
10,0.06
11,0.08
12,0.11
13,0.13
14,0.16
15,0.18
16,0.21
17,0.24
18,0.28
19,0.31
20,0.35
21,0.38
22,0.42
23,0.46
24,0.5
25,0.55
26,0.59
27,0.64
28,0.68
29,0.73
30,0.78
